add-none,1,100,200,186611,933,0
add-none,1,1000,2000,143123,71,0
add-none,1,10000,20000,374879,18,0
add-none,1,100000,200000,2648013,13,0
add-none,2,100,400,179520,448,0
add-none,2,1000,4000,150178,37,17
add-none,2,10000,40000,511825,12,169
add-none,2,100000,400000,3994502,9,-2641
add-none,4,100,800,201572,251,0
add-none,4,1000,8000,1305970,163,0
add-none,4,10000,80000,449006,5,1164
add-none,4,100000,800000,2970443,3,1784
add-none,8,100,1600,313183,195,0
add-none,8,1000,16000,278573,17,14
add-none,8,10000,160000,498458,3,-397
add-none,8,100000,1600000,2680607,1,995
add-none,12,100,2400,514474,214,0
add-none,12,1000,24000,463288,19,0
add-none,12,10000,240000,479209,1,512
add-none,12,100000,2400000,3391997,1,-10341
add-yield-none,1,10,20,151173,7558,0
add-yield-none,1,20,40,159652,3991,0
add-yield-none,1,40,80,172874,2160,0
add-yield-none,1,80,160,210168,1313,0
add-yield-none,1,100,200,225731,1128,0
add-yield-none,1,1000,2000,1026939,513,0
add-yield-none,1,10000,20000,9188491,459,0
add-yield-none,1,100000,200000,61135475,305,0
add-yield-none,2,10,40,145344,3633,0
add-yield-none,2,20,80,107776,1347,0
add-yield-none,2,40,160,159742,998,11
add-yield-none,2,80,320,174924,546,19
add-yield-none,2,100,400,179458,448,32
add-yield-none,2,1000,4000,619200,154,18
add-yield-none,2,10000,40000,5235631,130,21
add-yield-none,2,100000,400000,39814576,99,35
add-yield-none,4,10,80,202742,2534,0
add-yield-none,4,20,160,212364,1327,0
add-yield-none,4,40,320,198120,619,3
add-yield-none,4,80,640,201842,315,28
add-yield-none,4,100,800,238468,298,17
add-yield-none,4,1000,8000,428705,53,113
add-yield-none,4,10000,80000,2748850,34,146
add-yield-none,4,100000,800000,21708461,27,173
add-yield-none,8,10,160,262616,1641,0
add-yield-none,8,20,320,320654,1002,0
add-yield-none,8,40,640,314878,491,1
add-yield-none,8,80,1280,314155,245,7
add-yield-none,8,100,1600,396369,247,8
add-yield-none,8,1000,16000,410058,25,113
add-yield-none,8,10000,160000,1605765,10,144
add-yield-none,8,100000,1600000,13676965,8,164
add-yield-none,12,10,240,1605178,6688,0
add-yield-none,12,20,480,467029,972,0
add-yield-none,12,40,960,422549,440,0
add-yield-none,12,80,1920,463742,241,11
add-yield-none,12,100,2400,425417,177,3
add-yield-none,12,1000,24000,506928,21,355
add-yield-none,12,10000,240000,1673482,6,385
add-yield-none,12,100000,2400000,14246658,5,-1028
add-yield-m,1,10000,20000,9688045,484,0
add-yield-m,2,10000,40000,18670597,466,0
add-yield-m,4,10000,80000,25282299,316,0
add-yield-m,8,10000,160000,34256796,214,0
add-yield-m,12,10000,240000,34682704,144,0
add-yield-s,1,1000,2000,1066952,533,0
add-yield-s,2,1000,4000,1044197,261,0
add-yield-s,4,1000,8000,1411349,176,0
add-yield-s,8,1000,16000,2340400,146,0
add-yield-s,12,1000,24000,2411598,100,0
add-m,1,10000,20000,926519,46,0
add-m,2,10000,40000,3336087,83,0
add-m,4,10000,80000,4310543,53,0
add-m,8,10000,160000,3975829,24,0
add-m,12,10000,240000,4065792,16,0
add-s,1,1000,2000,179142,89,0
add-s,2,1000,4000,521737,130,0
add-s,4,1000,8000,430444,53,0
add-s,8,1000,16000,350872,21,0
add-s,12,10000,240000,12796157,53,0
